path,lines,todos,pass_count,classes,functions,ellipsis_tokens,area
codessa-memory-harvester.tsx,1428,0,0,0,0,6,top_level
codessa-seed/README.md,37,0,0,0,0,0,package_root
codessa-seed/docs/AGENT_ROLES.md,46,0,0,0,0,0,docs
codessa-seed/docs/API_SPECIFICATION.md,77,0,0,0,0,0,docs
codessa-seed/docs/ARCHITECTURE.md,46,0,0,0,0,0,docs
codessa-seed/docs/DEVELOPMENT_WORKFLOWS.md,70,0,0,0,0,0,docs
codessa-seed/docs/PROJECT_MANIFEST.md,32,0,0,0,0,0,docs
codessa-seed/docs/README.md,29,0,0,0,0,0,docs
codessa-seed/docs/REQUIREMENTS_MATRIX.md,51,0,0,0,0,0,docs
codessa-seed/docs/VISION_CONSTITUTION.md,38,0,0,0,0,0,docs
codessa-seed/memory/README.md,50,0,0,0,0,0,memory
codessa-seed/memory/__init__.py,1,0,0,0,0,0,memory
codessa-seed/memory/knowledge_graph.py,126,34,9,1,9,0,memory
codessa-seed/memory/schema.json,320,0,0,0,0,0,memory
codessa-seed/pytest.ini,4,0,0,0,0,0,package_root
codessa-seed/requirements.txt,6,0,0,0,0,0,package_root
codessa-seed/src/__init__.py,1,0,0,0,0,0,package_root
codessa-seed/src/agents/README.md,45,0,0,0,0,0,agents
codessa-seed/src/agents/__init__.py,1,0,0,0,0,0,agents
codessa-seed/src/agents/architect_agent.py,81,18,5,1,5,0,agents
codessa-seed/src/agents/builder_agent.py,79,18,5,1,5,0,agents
codessa-seed/src/agents/scribe_agent.py,75,15,5,1,5,0,agents
codessa-seed/src/agents/validator_agent.py,92,22,6,1,6,0,agents
codessa-seed/src/ingestion/README.md,34,0,0,0,0,0,ingestion
codessa-seed/src/ingestion/__init__.py,1,0,0,0,0,0,ingestion
codessa-seed/src/ingestion/clustering.py,80,11,7,2,7,0,ingestion
codessa-seed/src/ingestion/parser.py,88,9,5,3,6,0,ingestion
codessa-seed/src/ingestion/storage_adapter.py,116,17,10,3,12,0,ingestion
codessa-seed/tests/README.md,62,0,0,0,0,0,tests
codessa-seed/tests/test_agents.py,100,3,3,4,12,0,tests
codessa-seed/tests/test_ingestion.py,194,9,9,4,20,0,tests
codessa-seed/tests/test_memory.py,177,6,6,2,15,0,tests
codessa_seed_scaffold.md,2116,162,70,21,98,0,top_level
ingestion_workflow_docs.md,268,0,1,0,0,5,top_level
intent_miner_module.py,384,0,0,1,13,1,top_level
loader_chatgpt.py,291,0,0,1,11,0,top_level
memory_object_schema.json,161,0,0,0,0,0,top_level
normalize_module.py,331,0,2,2,10,0,top_level
thread_index_schema.json,110,0,0,0,0,0,top_level
